name,artist,album,art,file
1. Intro,Tech N9ne,Absolute Power,art.jpg,Intro.mp3
2. The Industry Is Punks,Tech N9ne,Absolute Power,art.jpg,The_Industry_Is_Punks.mp3
3. Here Comes Tecca Nina,Tech N9ne,Absolute Power,art.jpg,Here_Comes_Tecca_Nina.mp3
4. Imma Tell,Tech N9ne,Absolute Power,art.jpg,Imma_Tell.mp3
6. Keep On Keepin' On,Tech N9ne,Absolute Power,art.jpg,Keep_On_Keepin_On.mp3
7. Gunz Will Bust,Tech N9ne,Absolute Power,art.jpg,Gunz_Will_Bust.mp3
8. Bianca's & Beatrice's,Tech N9ne,Absolute Power,art.jpg,Biancas_And_Beatrices.mp3
9. Diamond Joe's,Tech N9ne,Absolute Power,art.jpg,Diamond_Joes.mp3
10. Slither,Tech N9ne,Absolute Power,art.jpg,Slither.mp3
11. Disturbance,Tech N9ne,Absolute Power,art.jpg,Disturbance.mp3
12. Trapped In A Psycho's Body,Tech N9ne,Absolute Power,art.jpg,Trapped_In_A_Psychos_Body.mp3
13. T9X,Tech N9ne,Absolute Power,art.jpg,T9X.mp3
14. She Devil,Tech N9ne,Absolute Power,art.jpg,She_Devil.mp3
15. Worst Enemy,Tech N9ne,Absolute Power,art.jpg,Worst_Enemy.mp3
16. Signing Off (Interlude),Tech N9ne,Absolute Power,art.jpg,Signing_Off.mp3
17. Absolute Power,Tech N9ne,Absolute Power,art.jpg,Absolute_Power.mp3
18. Yada Yada Yada,Tech N9ne,Absolute Power,art.jpg,Yada_Yada_Yada.mp3
19. Constantly Dirty,Tech N9ne,Absolute Power,art.jpg,Constantly_Dirty.mp3
20. I'm A Playa,Tech N9ne,Absolute Power,art.jpg,Im_A_Playa.mp3
